a,pg,aLabel,born,died
http://www.wikidata.org/entity/Q5360368,731,Elia W. Peattie,1862-01-15T00:00:00Z,1935-07-12T00:00:00Z
http://www.wikidata.org/entity/Q5400942,4845,Estelle May Hurll,1863-01-01T00:00:00Z,1924-01-01T00:00:00Z
http://www.wikidata.org/entity/Q5415111,5176,Eva March Tappan,1854-12-26T00:00:00Z,1930-01-29T00:00:00Z
http://www.wikidata.org/entity/Q5460638,1814,Florence Henrietta Darwin,1864-01-01T00:00:00Z,1920-03-05T00:00:00Z
http://www.wikidata.org/entity/Q5549723,3132,Geraldine Bonner,1870-01-01T00:00:00Z,1930-06-18T00:00:00Z
http://www.wikidata.org/entity/Q6152115,40155,Jane Cunningham Croly,1829-12-19T00:00:00Z,1901-12-23T00:00:00Z
http://www.wikidata.org/entity/Q6303553,43832,Judith Madan,1702-08-26T00:00:00Z,1781-12-07T00:00:00Z
http://www.wikidata.org/entity/Q6376227,1139,Katharine Pyle,1863-11-23T00:00:00Z,1938-02-19T00:00:00Z
http://www.wikidata.org/entity/Q6763237,1194,Marietta Holley,1836-01-01T00:00:00Z,1926-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6763237,1194,Marietta Holley,1836-01-01T00:00:00Z,1926-03-01T00:00:00Z
http://www.wikidata.org/entity/Q13561696,3353,Edna White,1892-10-23T00:00:00Z,1992-06-25T00:00:00Z
http://www.wikidata.org/entity/Q15521717,1254,Mary Ellen Bamford,1857-12-10T00:00:00Z,1946-05-21T00:00:00Z
http://www.wikidata.org/entity/Q15984855,2722,Mary Elizabeth Wilson Sherwood,1826-10-27T00:00:00Z,1903-09-12T00:00:00Z
http://www.wikidata.org/entity/Q18386958,5711,Charlotte Harding,1873-08-31T00:00:00Z,1951-11-01T00:00:00Z
http://www.wikidata.org/entity/Q27067437,25023,Margaret Horton Potter,1881-05-20T00:00:00Z,1911-12-22T00:00:00Z
http://www.wikidata.org/entity/Q27089346,1276,Fanny Elizabeth Bunnett,1831-01-01T00:00:00Z,1875-02-19T00:00:00Z
